NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
         Other Federal Programs*, 178 , 225 , 295 , 342 , 351 , 370 , 263 , 192 , 199 , 221 , 322 , 426 , 430 , 428 , 439 , 283 , 341 , 359 , 389 , 418 , 412 , 398 , 348 , 146 , 172 , 177 , 182 , 195 , 203 , 221 , 244 , 276 , 299 , 315 , 303 , 303 , 337 , 337 , 377 , 451 , 637 ," 1,012 "," 1,117 "," 1,156 "," 1,209 "," 1,220 "," 1,281 "," 1,282 "," 1,277 "," 1,342 "," 1,331 "," 1,719 "," 2,385 "," 2,311 "," 1,516 "," 1,453 "," 1,546 "," 1,636 "," 1,717 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 82 , 74 , 76 , 85 , 78 , 91 , 83 , 62 , 54 , 51 , 40 , 38 , 43 , 56 , 43 , 81 , 165 , 126 , 86 , 86 , 86 , 121 , 129 , 165 , 186 , 174 , 182 , 185 , 178 , 172 , 163 , 162 , 162 , 162 , 167 , 158 , 145 , 175 , 166 , 176 , 176 , 182 , 179 , 179 
         Other State and Local Programs**," 2,027 "," 2,162 "," 2,220 "," 2,448 "," 2,537 "," 2,731 "," 2,683 "," 2,429 "," 2,665 "," 2,841 "," 3,135 "," 3,242 "," 3,556 "," 3,953 "," 4,504 "," 4,785 "," 4,553 "," 4,793 "," 5,220 "," 5,728 "," 5,664 "," 6,410 "," 6,813 "," 6,942 "," 6,738 "," 7,020 "," 9,061 "," 10,199 "," 10,817 "," 10,543 "," 10,928 "," 10,767 "," 10,277 "," 11,159 "," 11,970 "," 10,615 "," 10,067 "," 9,889 "," 10,350 "," 10,329 "," 9,909 "," 10,399 "," 11,004 "," 12,392 "," 13,403 "," 14,357 "," 15,009 "," 15,942 "," 16,198 "," 16,668 "," 17,683 "," 16,625 "," 15,417 "," 15,753 "," 15,179 "," 16,008 "," 16,796 "," 17,198 "," 17,614 "
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 1,982 "," 4,849 "," 5,811 "," 6,842 "," 8,005 "," 9,236 "," 10,275 "," 11,528 "," 13,614 "," 16,516 "," 19,668 "," 22,789 "," 25,647 "," 29,421 "," 35,493 "," 42,583 "," 48,444 "," 53,936 "," 59,377 "," 63,268 "," 66,785 "," 71,268 "," 76,049 "," 84,431 "," 94,066 "," 109,867 "," 127,008 "," 140,982 "," 153,550 "," 165,086 "," 173,411 "," 179,006 "," 179,991 "," 188,368 "," 195,231 "," 213,790 "," 229,756 "," 243,192 "," 262,093 "," 282,835 "," 295,854 "," 312,890 "," 331,322 "," 351,230 "," 365,184 "," 374,075 "," 390,428 "," 404,581 "," 425,865 "," 448,138 "," 465,998 "," 481,434 "," 498,303 "
Total Physician and Clinical Expenditures," 5,551 "," 5,814 "," 6,261 "," 7,074 "," 8,109 "," 8,587 "," 9,309 "," 10,448 "," 11,344 "," 12,716 "," 14,331 "," 15,917 "," 17,706 "," 19,559 "," 22,215 "," 25,309 "," 28,672 "," 33,112 "," 35,833 "," 41,192 "," 47,717 "," 55,619 "," 61,635 "," 68,643 "," 77,413 "," 90,856 "," 100,667 "," 112,800 "," 128,416 "," 142,937 "," 158,392 "," 175,750 "," 190,156 "," 201,417 "," 210,478 "," 220,300 "," 228,417 "," 238,857 "," 256,461 "," 269,495 "," 288,171 "," 312,678 "," 337,670 "," 364,305 "," 389,402 "," 413,014 "," 434,731 "," 457,520 "," 481,885 "," 497,684 "," 512,571 "," 535,857 "," 557,112 "," 569,581 "," 595,710 "," 631,189 "," 665,580 "," 696,894 "," 725,553 "
     Out of pocket," 3,305 "," 3,395 "," 3,594 "," 4,027 "," 4,637 "," 4,879 "," 4,843 "," 4,831 "," 5,131 "," 5,775 "," 6,462 "," 6,883 "," 7,376 "," 7,805 "," 8,458 "," 9,092 "," 10,102 "," 11,387 "," 11,644 "," 12,913 "," 14,220 "," 16,159 "," 17,366 "," 18,642 "," 20,724 "," 24,268 "," 26,981 "," 27,953 "," 29,459 "," 29,753 "," 29,915 "," 30,517 "," 30,027 "," 28,999 "," 27,274 "," 25,653 "," 26,235 "," 27,486 "," 29,315 "," 30,218 "," 31,898 "," 33,385 "," 35,054 "," 37,198 "," 38,914 "," 41,690 "," 43,369 "," 45,419 "," 46,832 "," 45,422 "," 48,734 "," 51,638 "," 51,961 "," 53,418 "," 54,429 "," 56,490 "," 58,839 "," 60,085 "," 61,165 "
     Health Insurance," 1,837 "," 1,966 "," 2,174 "," 2,518 "," 2,892 "," 3,068 "," 3,791 "," 4,907 "," 5,484 "," 6,207 "," 6,991 "," 8,026 "," 9,183 "," 10,399 "," 12,126 "," 13,976 "," 16,090 "," 18,853 "," 20,779 "," 24,191 "," 28,516 "," 33,526 "," 37,695 "," 42,483 "," 47,804 "," 55,755 "," 61,065 "," 70,113 "," 81,887 "," 94,140 "," 107,415 "," 122,118 "," 134,709 "," 145,663 "," 155,687 "," 165,762 "," 172,292 "," 179,899 "," 190,720 "," 202,026 "," 220,142 "," 241,406 "," 263,850 "," 285,706 "," 306,059 "," 325,576 "," 343,440 "," 361,233 "," 382,260 "," 400,881 "," 411,093 "," 431,534 "," 447,766 "," 457,688 "," 484,257 "," 513,388 "," 538,524 "," 565,251 "," 594,034 "
          Private Health Insurance," 1,593 "," 1,691 "," 1,849 "," 2,138 "," 2,539 "," 2,754 "," 2,816 "," 2,892 "," 3,161 "," 3,659 "," 4,209 "," 4,775 "," 5,436 "," 6,099 "," 6,995 "," 7,944 "," 9,311 "," 11,055 "," 12,050 "," 14,216 "," 16,625 "," 19,523 "," 21,671 "," 24,019 "," 27,556 "," 33,285 "," 35,387 "," 40,749 "," 49,822 "," 57,926 "," 66,617 "," 77,312 "," 86,150 "," 93,857 "," 99,249 "," 104,656 "," 108,039 "," 111,464 "," 118,983 "," 125,038 "," 135,408 "," 148,320 "," 162,193 "," 176,171 "," 185,816 "," 197,895 "," 206,133 "," 215,694 "," 224,304 "," 228,595 "," 231,090 "," 241,643 "," 249,111 "," 249,640 "," 257,441 "," 271,622 "," 287,040 "," 300,187 "," 311,808 "
          Medicare, -   , -   , -   , -   , -   , -   , 443 ," 1,226 "," 1,457 "," 1,570 "," 1,643 "," 1,855 "," 2,027 "," 2,271 "," 2,854 "," 3,467 "," 4,100 "," 4,980 "," 5,872 "," 6,871 "," 8,315 "," 9,838 "," 11,757 "," 13,860 "," 15,401 "," 17,010 "," 19,460 "," 22,514 "," 24,426 "," 27,703 "," 30,460 "," 32,021 "," 33,700 "," 35,320 "," 38,798 "," 42,262 "," 44,649 "," 47,663 "," 50,240 "," 53,823 "," 58,729 "," 63,727 "," 68,041 "," 73,536 "," 80,551 "," 85,587 "," 91,343 "," 95,971 "," 103,816 "," 112,026 "," 115,779 "," 122,222 "," 128,174 "," 132,053 "," 137,932 "," 144,421 "," 149,202 "," 157,932 "," 170,242 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 141 , 348 , 429 , 519 , 649 , 846 ," 1,093 "," 1,353 "," 1,539 "," 1,783 "," 1,822 "," 1,897 "," 1,991 "," 2,153 "," 2,432 "," 2,839 "," 2,793 "," 3,092 "," 3,190 "," 3,521 "," 4,028 "," 4,477 "," 4,913 "," 5,600 "," 7,026 "," 9,113 "," 11,152 "," 12,683 "," 13,695 "," 14,788 "," 15,241 "," 16,310 "," 16,766 "," 17,478 "," 19,294 "," 21,432 "," 24,023 "," 25,186 "," 27,987 "," 30,073 "," 31,779 "," 33,525 "," 35,913 "," 40,164 "," 43,259 "," 45,185 "," 46,974 "," 51,507 "," 63,438 "," 69,078 "," 72,215 "," 75,238 "," 77,394 "
                          Federal  , -   , -   , -   , -   , -   , -   , 68 , 169 , 223 , 286 , 349 , 481 , 594 , 706 , 873 , 976 ," 1,041 "," 1,075 "," 1,103 "," 1,215 "," 1,366 "," 1,603 "," 1,582 "," 1,761 "," 1,798 "," 1,977 "," 2,280 "," 2,540 "," 2,847 "," 3,272 "," 4,119 "," 5,305 "," 6,678 "," 7,658 "," 8,073 "," 8,628 "," 8,954 "," 9,489 "," 9,814 "," 10,229 "," 11,377 "," 12,680 "," 14,193 "," 15,560 "," 17,147 "," 17,977 "," 18,911 "," 19,793 "," 22,155 "," 27,753 "," 30,146 "," 28,632 "," 28,625 "," 32,095 "," 43,801 "," 48,345 "," 50,764 "," 51,488 "," 52,482 "
                          State and Local, -   , -   , -   , -   , -   , -   , 73 , 180 , 207 , 233 , 300 , 365 , 499 , 647 , 666 , 807 , 780 , 822 , 888 , 937 ," 1,066 "," 1,235 "," 1,211 "," 1,331 "," 1,392 "," 1,544 "," 1,748 "," 1,937 "," 2,065 "," 2,327 "," 2,907 "," 3,808 "," 4,474 "," 5,025 "," 5,622 "," 6,160 "," 6,287 "," 6,821 "," 6,952 "," 7,249 "," 7,917 "," 8,752 "," 9,830 "," 9,626 "," 10,840 "," 12,096 "," 12,868 "," 13,733 "," 13,758 "," 12,411 "," 13,113 "," 16,553 "," 18,348 "," 19,412 "," 19,637 "," 20,733 "," 21,451 "," 23,750 "," 24,911 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 56 , 494 , 731 ," 1,001 "," 1,192 "," 1,435 "," 1,604 "," 1,653 "," 2,518 "," 2,638 "," 2,746 "," 2,973 "," 3,064 "," 3,046 "," 3,200 "," 3,531 "," 3,198 "," 3,522 "," 3,918 "," 4,287 "," 4,395 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39 , 338 , 506 , 702 , 840 ," 1,015 "," 1,125 "," 1,158 "," 1,717 "," 1,823 "," 1,906 "," 2,070 "," 2,121 "," 2,117 "," 2,219 "," 2,451 "," 2,230 "," 2,607 "," 3,556 "," 3,898 "," 4,059 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , 155 , 225 , 299 , 351 , 421 , 479 , 494 , 801 , 815 , 840 , 903 , 943 , 929 , 982 ," 1,080 ", 967 , 915 , 362 , 388 , 336 
         Department of Defense, 218 , 248 , 298 , 352 , 324 , 284 , 359 , 408 , 403 , 420 , 448 , 502 , 568 , 605 , 659 , 681 , 728 , 798 , 717 , 797 , 971 ," 1,131 "," 1,250 "," 1,264 "," 1,389 "," 1,662 "," 1,872 "," 2,019 "," 2,351 "," 2,530 "," 2,893 "," 3,201 "," 3,198 "," 3,229 "," 3,303 "," 3,357 "," 3,552 "," 3,582 "," 3,687 "," 4,101 "," 4,673 "," 5,393 "," 6,645 "," 7,199 "," 7,716 "," 7,866 "," 8,967 "," 10,022 "," 11,175 "," 11,822 "," 12,122 "," 13,069 "," 13,740 "," 13,741 "," 14,324 "," 14,807 "," 15,278 "," 15,655 "," 16,546 "
         Department of Veterans Affairs, 25 , 27 , 27 , 28 , 29 , 30 , 31 , 32 , 34 , 39 , 41 , 48 , 59 , 70 , 80 , 100 , 129 , 123 , 148 , 154 , 173 , 195 , 224 , 248 , 268 , 277 , 318 , 354 , 376 , 382 , 419 , 471 , 510 , 574 , 642 , 698 , 810 , 881 , 988 ," 1,092 "," 1,307 "," 1,534 "," 1,757 "," 2,179 "," 2,386 "," 2,503 "," 2,700 "," 3,383 "," 4,305 "," 5,302 "," 5,779 "," 6,369 "," 6,567 "," 7,217 "," 7,924 "," 9,938 "," 10,871 "," 11,951 "," 13,649 "
     Other Third Party Payers and Programs, 409 , 452 , 493 , 529 , 579 , 641 , 675 , 709 , 730 , 733 , 878 ," 1,008 "," 1,147 "," 1,355 "," 1,631 "," 2,241 "," 2,480 "," 2,872 "," 3,409 "," 4,088 "," 4,981 "," 5,935 "," 6,574 "," 7,518 "," 8,884 "," 10,834 "," 12,620 "," 14,734 "," 17,070 "," 19,044 "," 21,062 "," 23,114 "," 25,420 "," 26,755 "," 27,517 "," 28,885 "," 29,891 "," 31,472 "," 36,427 "," 37,250 "," 36,131 "," 37,887 "," 38,767 "," 41,401 "," 44,428 "," 45,747 "," 47,922 "," 50,869 "," 52,793 "," 51,381 "," 52,744 "," 52,684 "," 57,385 "," 58,475 "," 57,024 "," 61,311 "," 68,217 "," 71,558 "," 70,354 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 73 , 78 , 84 , 93 , 106 , 128 , 150 , 156 , 176 , 199 , 225 , 255 , 302 , 359 , 428 , 514 , 626 , 786 ," 1,061 "," 1,434 "," 1,848 "," 2,487 "," 3,009 "," 3,594 "," 4,534 "," 5,781 "," 6,880 "," 8,144 "," 9,409 "," 10,586 "," 11,306 "," 12,411 "," 13,781 "," 14,895 "," 16,174 "," 17,574 "," 18,822 "," 20,089 "," 24,345 "," 24,362 "," 22,468 "," 22,695 "," 22,954 "," 24,513 "," 27,318 "," 28,428 "," 30,814 "," 33,136 "," 34,120 "," 33,130 "," 34,208 "," 32,749 "," 36,882 "," 37,696 "," 35,821 "," 39,742 "," 46,436 "," 49,551 "," 47,948 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 41 , 56 , 65 , 79 , 99 , 130 , 149 , 143 , 144 , 168 , 191 , 195 , 214 , 232 , 227 , 277 , 334 , 398 , 409 , 411 , 457 , 450 , 484 , 481 , 495 , 537 , 591 , 595 , 645 , 679 , 680 , 701 , 709 , 748 , 838 , 941 , 958 , 987 , 960 , 996 , 995 ," 1,022 "," 1,031 "," 1,061 "
         Workers' Compensation, 252 , 267 , 288 , 305 , 328 , 348 , 393 , 443 , 424 , 370 , 454 , 486 , 530 , 634 , 747 , 853 , 985 ," 1,127 "," 1,222 "," 1,448 "," 1,612 "," 1,806 "," 2,032 "," 2,274 "," 2,652 "," 3,289 "," 3,853 "," 4,504 "," 5,346 "," 6,355 "," 7,175 "," 8,011 "," 8,689 "," 8,803 "," 8,183 "," 7,994 "," 7,980 "," 8,292 "," 8,966 "," 9,652 "," 10,132 "," 11,197 "," 11,622 "," 12,367 "," 12,426 "," 12,546 "," 12,266 "," 12,563 "," 13,222 "," 12,547 "," 12,608 "," 13,265 "," 13,254 "," 13,412 "," 13,247 "," 12,711 "," 12,568 "," 12,366 "," 12,249 "
         General Assistance, 9 , 10 , 9 , 9 , 9 , 9 , 19 , 24 , 32 , 41 , 51 , 62 , 79 , 99 , 123 , 152 , 176 , 202 , 224 , 245 , 313 , 354 , 380 , 422 , 473 , 524 , 604 , 665 , 712 , 610 , 625 , 576 , 645 , 656 , 613 , 633 , 625 , 638 , 625 , 464 , 469 , 504 , 498 , 607 , 623 , 638 , 696 , 790 , 917 , 993 , 977 , 978 , 964 , 866 , 870 , 757 , 768 , 825 , 825 
         Maternal/Child Health, 4 , 7 , 8 , 10 , 11 , 14 , 20 , 25 , 31 , 38 , 33 , 38 , 43 , 40 , 46 , 51 , 55 , 58 , 62 , 66 , 72 , 72 , 74 , 79 , 76 , 94 , 100 , 109 , 114 , 120 , 120 , 136 , 150 , 153 , 157 , 155 , 155 , 161 , 162 , 168 , 175 , 181 , 185 , 190 , 189 , 187 , 182 , 199 , 216 , 199 , 195 , 188 , 176 , 179 , 190 , 188 , 181 , 192 , 198 
                          Federal  , 2 , 3 , 4 , 4 , 5 , 8 , 13 , 18 , 22 , 26 , 20 , 26 , 32 , 27 , 33 , 37 , 40 , 42 , 45 , 46 , 47 , 46 , 46 , 50 , 43 , 53 , 52 , 57 , 60 , 63 , 62 , 68 , 74 , 73 , 74 , 71 , 68 , 67 , 67 , 69 , 69 , 70 , 72 , 72 , 72 , 70 , 68 , 68 , 67 , 65 , 64 , 64 , 61 , 59 , 61 , 61 , 60 , 62 , 63 
                          State and Local, 2 , 3 , 4 , 5 , 6 , 6 , 7 , 7 , 9 , 12 , 12 , 13 , 12 , 13 , 13 , 14 , 15 , 16 , 17 , 21 , 25 , 26 , 28 , 29 , 33 , 41 , 47 , 52 , 54 , 56 , 58 , 68 , 76 , 79 , 83 , 85 , 87 , 94 , 95 , 99 , 106 , 110 , 114 , 118 , 117 , 117 , 114 , 132 , 149 , 135 , 131 , 124 , 115 , 120 , 129 , 127 , 121 , 130 , 135 
         Vocational Rehabilitation, 8 , 9 , 10 , 11 , 12 , 15 , 23 , 30 , 34 , 39 , 49 , 58 , 59 , 58 , 67 , 73 , 81 , 85 , 86 , 88 , 87 , 85 , 88 , 101 , 111 , 118 , 125 , 138 , 148 , 151 , 150 , 160 , 172 , 175 , 182 , 184 , 184 , 196 , 200 , 199 , 201 , 210 , 219 , 221 , 222 , 220 , 235 , 242 , 246 , 256 , 269 , 267 , 266 , 251 , 229 , 239 , 250 , 261 , 275 
                          Federal  , 5 , 6 , 6 , 7 , 7 , 10 , 16 , 22 , 26 , 30 , 38 , 45 , 46 , 46 , 52 , 57 , 64 , 66 , 66 , 67 , 67 , 64 , 65 , 74 , 84 , 90 , 95 , 106 , 114 , 117 , 115 , 123 , 131 , 131 , 136 , 138 , 137 , 148 , 151 , 151 , 152 , 160 , 168 , 170 , 171 , 170 , 178 , 181 , 188 , 197 , 210 , 209 , 206 , 195 , 177 , 183 , 193 , 201 , 211 
                          State and Local, 3 , 4 , 4 , 4 , 5 , 5 , 6 , 8 , 9 , 9 , 11 , 13 , 13 , 13 , 15 , 16 , 18 , 19 , 20 , 21 , 21 , 21 , 24 , 26 , 28 , 29 , 30 , 32 , 34 , 34 , 35 , 37 , 41 , 44 , 46 , 46 , 47 , 48 , 49 , 48 , 49 , 50 , 51 , 52 , 51 , 50 , 57 , 61 , 58 , 59 , 59 , 58 , 60 , 55 , 52 , 55 , 58 , 60 , 64 
         Other Federal Programs*, 29 , 39 , 49 , 54 , 52 , 52 , 31 , 14 , 18 , 29 , 53 , 93 , 119 , 149 , 204 , 184 , 155 , 179 , 242 , 299 , 419 , 504 , 469 , 550 , 515 , 540 , 558 , 577 , 595 , 590 , 660 , 715 , 782 , 809 , 858 , 874 , 898 , 931 , 979 ," 1,094 "," 1,256 "," 1,529 "," 1,673 "," 1,821 "," 1,913 "," 1,990 "," 1,982 "," 2,188 "," 2,288 "," 2,367 "," 2,533 "," 3,304 "," 3,728 "," 4,030 "," 4,519 "," 5,522 "," 5,775 "," 6,090 "," 6,479 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 355 , 328 , 351 , 410 , 388 , 476 , 454 , 356 , 330 , 330 , 274 , 281 , 355 , 484 , 373 , 717 , 740 , 769 , 829 , 914 , 982 , 743 , 644 , 635 , 785 , 864 , 942 , 969 , 985 ," 1,003 "," 1,002 ", 988 , 983 , 975 , 990 , 951 , 912 ," 1,062 "," 1,013 "," 1,084 "," 1,086 "," 1,143 "," 1,166 "," 1,241 "
         Other State and Local Programs**, 34 , 41 , 46 , 47 , 61 , 74 , 41 , 17 , 15 , 16 , 13 , 16 , 15 , 16 , 16 , 18 , 18 , 19 , 23 , 21 , 22 , 23 , 24 , 25 , 24 , 24 , 26 , 27 , 30 , 31 , 30 , 32 , 34 , 26 , 25 , 32 , 34 , 36 , 34 , 31 , 30 , 39 , 52 , 53 , 55 , 56 , 58 , 59 , 61 , 61 , 62 , 64 , 66 , 67 , 69 , 72 , 74 , 76 , 79 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 584 ," 1,574 "," 1,886 "," 2,089 "," 2,292 "," 2,701 "," 3,120 "," 3,624 "," 4,393 "," 5,250 "," 5,922 "," 6,877 "," 7,864 "," 9,024 "," 10,747 "," 12,677 "," 14,550 "," 16,952 "," 18,591 "," 20,531 "," 23,488 "," 26,991 "," 29,339 "," 33,303 "," 37,486 "," 41,134 "," 44,851 "," 48,003 "," 52,493 "," 57,050 "," 59,890 "," 63,973 "," 67,062 "," 71,795 "," 78,754 "," 86,160 "," 93,255 "," 100,156 "," 110,142 "," 117,312 "," 125,640 "," 132,134 "," 142,475 "," 155,163 "," 162,102 "," 170,453 "," 178,348 "," 187,090 "," 204,567 "," 217,021 "," 225,335 "," 237,457 "," 252,030 "
Total Dental Services Expenditures," 1,987 "," 2,103 "," 2,224 "," 2,371 "," 2,616 "," 2,818 "," 2,992 "," 3,446 "," 3,704 "," 4,216 "," 4,711 "," 5,226 "," 5,566 "," 6,379 "," 7,139 "," 8,023 "," 9,042 "," 10,129 "," 11,039 "," 11,984 "," 13,320 "," 15,706 "," 16,971 "," 18,290 "," 19,859 "," 21,694 "," 23,164 "," 25,322 "," 27,394 "," 29,377 "," 31,598 "," 33,397 "," 37,133 "," 39,006 "," 41,558 "," 44,615 "," 46,943 "," 50,292 "," 53,600 "," 57,255 "," 62,133 "," 67,709 "," 73,636 "," 76,316 "," 82,189 "," 87,201 "," 91,766 "," 97,732 "," 102,708 "," 103,097 "," 105,860 "," 107,986 "," 109,700 "," 111,237 "," 113,832 "," 118,835 "," 124,901 "," 129,621 "," 135,636 "
     Out of pocket," 1,907 "," 2,018 "," 2,135 "," 2,275 "," 2,516 "," 2,704 "," 2,827 "," 3,150 "," 3,322 "," 3,789 "," 4,241 "," 4,671 "," 4,933 "," 5,605 "," 6,129 "," 6,532 "," 6,963 "," 7,584 "," 7,918 "," 8,237 "," 8,764 "," 10,019 "," 10,496 "," 10,967 "," 11,545 "," 12,227 "," 12,658 "," 13,118 "," 13,845 "," 14,485 "," 15,255 "," 15,736 "," 17,117 "," 17,448 "," 18,276 "," 19,294 "," 20,062 "," 22,059 "," 23,677 "," 25,022 "," 27,440 "," 29,115 "," 32,029 "," 33,457 "," 35,752 "," 37,921 "," 39,821 "," 42,545 "," 44,930 "," 42,815 "," 43,652 "," 45,043 "," 45,677 "," 45,983 "," 46,339 "," 49,396 "," 51,895 "," 52,989 "," 54,852 "
     Health Insurance, 64 , 64 , 66 , 71 , 71 , 81 , 146 , 284 , 362 , 403 , 449 , 530 , 604 , 739 , 965 ," 1,433 "," 2,009 "," 2,459 "," 3,026 "," 3,647 "," 4,443 "," 5,545 "," 6,327 "," 7,170 "," 8,153 "," 9,280 "," 10,317 "," 12,015 "," 13,364 "," 14,700 "," 16,163 "," 17,460 "," 19,792 "," 21,320 "," 23,026 "," 25,056 "," 26,591 "," 27,921 "," 29,616 "," 31,927 "," 34,347 "," 38,262 "," 41,291 "," 42,574 "," 46,123 "," 48,951 "," 51,594 "," 54,805 "," 57,357 "," 59,794 "," 61,673 "," 62,437 "," 63,502 "," 64,773 "," 67,027 "," 68,980 "," 72,543 "," 76,128 "," 80,224 "
          Private Health Insurance, 38 , 37 , 38 , 41 , 43 , 55 , 68 , 104 , 113 , 180 , 212 , 248 , 292 , 378 , 550 , 939 ," 1,486 "," 1,909 "," 2,502 "," 3,070 "," 3,781 "," 4,792 "," 5,670 "," 6,505 "," 7,526 "," 8,573 "," 9,551 "," 11,199 "," 12,511 "," 13,813 "," 15,134 "," 16,197 "," 18,271 "," 19,295 "," 20,931 "," 22,875 "," 24,329 "," 25,536 "," 27,025 "," 29,189 "," 31,277 "," 34,338 "," 36,508 "," 37,365 "," 40,492 "," 42,833 "," 45,048 "," 47,480 "," 48,863 "," 49,638 "," 50,430 "," 50,870 "," 51,569 "," 52,360 "," 53,454 "," 53,522 "," 56,316 "," 58,916 "," 62,246 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 2 , 2 , 16 , 17 , 34 , 40 , 54 , 74 , 89 , 99 , 78 , 81 , 86 , 79 , 70 , 71 , 86 , 103 , 164 , 221 , 296 , 242 , 294 , 367 , 478 , 408 , 458 , 513 , 865 ," 1,189 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 43 , 138 , 201 , 168 , 162 , 179 , 183 , 228 , 295 , 364 , 390 , 424 , 392 , 440 , 503 , 581 , 485 , 501 , 456 , 510 , 554 , 591 , 617 , 638 , 756 , 945 ," 1,196 "," 1,675 "," 1,741 "," 1,807 "," 1,872 "," 1,974 "," 2,129 "," 2,180 "," 2,400 "," 3,090 "," 3,709 "," 4,035 "," 4,264 "," 4,572 "," 4,781 "," 5,211 "," 6,227 "," 7,638 "," 8,401 "," 8,459 "," 8,581 "," 8,816 "," 9,933 "," 11,472 "," 12,080 "," 12,505 "," 12,783 "
                          Federal  , -   , -   , -   , -   , -   , -   , 21 , 67 , 104 , 93 , 87 , 101 , 100 , 120 , 166 , 200 , 233 , 241 , 217 , 247 , 275 , 317 , 264 , 273 , 249 , 277 , 304 , 324 , 345 , 359 , 425 , 529 , 684 , 950 , 960 , 994 ," 1,042 "," 1,101 "," 1,189 "," 1,226 "," 1,360 "," 1,743 "," 2,087 "," 2,380 "," 2,502 "," 2,624 "," 2,738 "," 2,997 "," 3,743 "," 5,179 "," 5,789 "," 5,204 "," 4,986 "," 5,109 "," 6,184 "," 7,577 "," 8,010 "," 8,186 "," 8,282 "
                          State and Local, -   , -   , -   , -   , -   , -   , 22 , 71 , 98 , 75 , 75 , 77 , 83 , 109 , 128 , 164 , 158 , 184 , 175 , 192 , 227 , 264 , 221 , 228 , 207 , 233 , 250 , 267 , 272 , 279 , 331 , 417 , 512 , 724 , 782 , 813 , 830 , 874 , 940 , 954 ," 1,040 "," 1,347 "," 1,622 "," 1,655 "," 1,762 "," 1,948 "," 2,044 "," 2,214 "," 2,485 "," 2,459 "," 2,612 "," 3,255 "," 3,595 "," 3,707 "," 3,749 "," 3,895 "," 4,071 "," 4,319 "," 4,502 "
